tanggal,jam,srcip,jumlah_koneksi,jumlah_tujuan_unik,jumlah_port_unik,dns_ratio,web_ratio,app_ratio,other_ratio,destination_diversity,total_data,average_datasize,jumlah_koneksi_deviation,jumlah_tujuan_unik_deviation,jumlah_port_unik_deviation,total_data_deviation,baseline_confidence,anomaly_score,anomaly_label
2026-07-19,08:00,192.168.2.139,17,10,1,0.0,1.0,0.0,0.0,0.5882,7010,412.35,-0.6480401414579051,-0.8820263777770861,-1.011736139214893,-0.7141962512788688,established,-0.32571,Normal
2026-07-19,08:00,192.168.2.165,1,1,1,0.0,1.0,0.0,0.0,1.0,44,44.0,-0.6744907594765952,0.0,0.0,-0.6744907594765952,established,-0.270545,Normal
2026-07-19,08:00,192.168.2.191,23,13,1,0.0,1.0,0.0,0.0,0.5652,9925,431.52,-0.9227033589639823,-1.1155039483651383,-1.3489815189531904,-0.9565324418575267,established,-0.314963,Normal
2026-07-19,09:00,192.168.2.139,7,6,1,0.0,1.0,0.0,0.0,0.8571,6540,934.29,-0.7802932315513552,-1.0895619960775769,-1.011736139214893,-0.7310692902906848,established,-0.288507,Normal
2026-07-19,09:00,192.168.2.165,3,1,1,0.0,1.0,0.0,0.0,0.3333,132,44.0,0.6744907594765952,0.0,0.0,0.6744907594765952,established,-0.34443,Normal
2026-07-19,09:00,192.168.2.191,292,62,7,0.0959,0.4212,0.4829,0.0,0.2123,148912,509.97,1.9803048698232835,1.4268073758158746,0.6744907594765952,3.2983386434652258,established,-0.207816,Normal
2026-07-19,09:00,192.168.2.195,104,33,2,0.1538,0.8462,0.0,0.0,0.3173,49961,480.39,1.596294797427942,0.9555285759251765,0.0,2.2417188323308515,established,-0.317428,Normal
2026-07-19,10:00,192.168.2.139,47,21,2,0.0,0.9787,0.0213,0.0,0.4468,31768,675.91,-0.25128087117755504,-0.31130342745073625,-0.6744907594765952,0.17461800373079409,established,-0.339594,Normal
2026-07-19,10:00,192.168.2.165,2,1,1,0.0,1.0,0.0,0.0,0.5,88,44.0,0.0,0.0,0.0,0.0,established,-0.34333,Normal
2026-07-19,10:00,192.168.2.191,21,13,3,0.0,0.8095,0.1905,0.0,0.619,12578,598.95,-0.9442870632672333,-1.1155039483651383,-0.6744907594765952,-0.8753149683574061,established,-0.289867,Normal
2026-07-19,10:00,192.168.2.195,249,47,2,0.2289,0.7711,0.0,0.0,0.1888,99876,401.11,4.856333468231486,1.7424344619812042,0.0,5.312983771144412,established,-0.242002,Normal
2026-07-19,11:00,192.168.2.139,34,23,3,0.0294,0.8235,0.1471,0.0,0.6765,16598,488.18,-0.4232098882990401,-0.20753561830049083,-0.3372453797382976,-0.3699862554378215,established,-0.293524,Normal
2026-07-19,11:00,192.168.2.165,3,1,1,0.0,1.0,0.0,0.0,0.3333,132,44.0,0.6744907594765952,0.0,0.0,0.6744907594765952,established,-0.34443,Normal
2026-07-19,11:00,192.168.2.191,133,53,3,0.0602,0.9323,0.0075,0.0,0.3985,57797,434.56,0.26440037771482533,0.9598522346397702,-0.6744907594765952,0.5089944678287807,established,-0.324034,Normal
2026-07-19,11:00,192.168.2.195,202,50,6,0.1683,0.7772,0.0545,0.0,0.2475,79673,394.42,3.79963127838482,1.911057151850353,2.697963037906381,4.0698952094124605,established,-0.251947,Normal
2026-07-19,12:00,192.168.2.139,33,15,1,0.0,1.0,0.0,0.0,0.4545,17644,534.67,-0.4364351973083851,-0.6226068549014725,-1.011736139214893,-0.33243476861577986,established,-0.33531,Normal
2026-07-19,12:00,192.168.2.165,3,1,1,0.0,1.0,0.0,0.0,0.3333,132,44.0,0.6744907594765952,0.0,0.0,0.6744907594765952,established,-0.34443,Normal
2026-07-19,12:00,192.168.2.191,223,67,7,0.2063,0.6951,0.0717,0.0269,0.3004,77024,345.4,1.2356670713611224,1.6862268986914881,0.6744907594765952,1.097599203217706,established,-0.296763,Normal
2026-07-19,12:00,192.168.2.195,210,43,3,0.1952,0.8048,0.0,0.0,0.2048,96061,457.43,3.979495480911912,1.5176042088223392,0.6744907594765952,5.078247204149045,established,-0.251645,Normal
2026-07-19,13:00,192.168.2.139,5,3,1,0.0,1.0,0.0,0.0,0.6,6290,1258.0,-0.8067438495700452,-1.245213709802945,-1.011736139214893,-0.7400443110416507,established,-0.318337,Normal
2026-07-19,13:00,192.168.2.165,3,1,1,0.0,1.0,0.0,0.0,0.3333,132,44.0,0.6744907594765952,0.0,0.0,0.6744907594765952,established,-0.34443,Normal
2026-07-19,13:00,192.168.2.191,187,46,3,0.2888,0.7112,0.0,0.0,0.246,61322,327.93,0.8471603939026036,0.5966649026139111,-0.6744907594765952,0.6169068666557408,established,-0.314508,Normal
2026-07-19,13:00,192.168.2.195,153,37,2,0.2288,0.7712,0.0,0.0,0.2418,73213,478.52,2.697963037906381,1.1803588290840417,0.0,3.6724120579602797,established,-0.289844,Normal
2026-07-19,14:00,192.168.2.139,14,8,1,0.0,1.0,0.0,0.0,0.5714,12870,919.29,-0.6877160684859401,-0.9857941869273316,-1.011736139214893,-0.5038217648762262,established,-0.324029,Normal
2026-07-19,14:00,192.168.2.165,3,1,1,0.0,1.0,0.0,0.0,0.3333,132,44.0,0.6744907594765952,0.0,0.0,0.6744907594765952,established,-0.34443,Normal
2026-07-19,14:00,192.168.2.191,164,60,4,0.1402,0.8537,0.0061,0.0,0.3659,52562,320.5,0.5989477944152165,1.3230395666656292,-0.3372453797382976,0.34873307552831656,established,-0.321531,Normal
2026-07-19,14:00,192.168.2.195,195,41,3,0.1385,0.8615,0.0,0.0,0.2103,109336,560.7,3.6422501011736146,1.4051890822429065,0.6744907594765952,5.895056621413395,established,-0.257023,Normal
2026-07-19,15:00,192.168.2.139,14,8,1,0.0,1.0,0.0,0.0,0.5714,13106,936.14,-0.6877160684859401,-0.9857941869273316,-1.011736139214893,-0.4953493452873143,established,-0.324029,Normal
2026-07-19,15:00,192.168.2.165,2,1,1,0.0,1.0,0.0,0.0,0.5,88,44.0,0.0,0.0,0.0,0.0,established,-0.34333,Normal
