attack_type,srcip,jumlah_koneksi,jumlah_tujuan_unik,jumlah_port_unik,total_data,dns_ratio,web_ratio,app_ratio,other_ratio,destination_diversity,jumlah_koneksi_deviation,jumlah_tujuan_unik_deviation,jumlah_port_unik_deviation,total_data_deviation,baseline_confidence,anomaly_score,anomaly_label
Horizontal port scan,synthetic-Horizontal port scan-0,1164,944,1,67105,0.0,0.0,0.0,1.0,0.811,18.53984856817718,61.850802644003785,-2.023472278429786,1.9352234272560906,new_host,0.061181,Anomaly
Horizontal port scan,synthetic-Horizontal port scan-1,757,757,1,70298,0.0,0.0,0.0,1.0,1.0,11.500932180818866,49.23782544179145,-2.023472278429786,2.1080407114005912,new_host,0.061944,Anomaly
Horizontal port scan,synthetic-Horizontal port scan-2,777,777,1,75364,0.0,0.0,0.0,1.0,1.0,11.846824877986352,50.58680696074464,-2.023472278429786,2.382231867515856,new_host,0.060762,Anomaly
Horizontal port scan,synthetic-Horizontal port scan-3,1086,1086,1,50181,0.0,0.0,0.0,1.0,1.0,17.19086704922399,71.42857142857143,-2.023472278429786,1.019232285113425,new_host,0.066937,Anomaly
Horizontal port scan,synthetic-Horizontal port scan-4,1033,724,1,64740,0.0,0.0,0.0,1.0,0.7009,16.274251401730154,47.01200593551869,-2.023472278429786,1.8072206471114791,new_host,0.051706,Anomaly
Horizontal port scan,synthetic-Horizontal port scan-5,1155,894,1,74152,0.0,0.0,0.0,1.0,0.774,18.38419685445181,58.478348846620804,-2.023472278429786,2.3166338254290615,new_host,0.058572,Anomaly
Horizontal port scan,synthetic-Horizontal port scan-6,1167,800,1,43577,0.0,0.0,0.0,1.0,0.6855,18.591732472752305,52.13813570754081,-2.023472278429786,0.6617987290563367,new_host,0.05183,Anomaly
Horizontal port scan,synthetic-Horizontal port scan-7,793,793,1,76830,0.0,0.0,0.0,1.0,1.0,12.12353903572034,51.66599217590719,-2.023472278429786,2.461577354066385,new_host,0.06026,Anomaly
Horizontal port scan,synthetic-Horizontal port scan-8,895,895,1,48821,0.0,0.0,0.0,1.0,1.0,13.887591791274511,58.54579792256847,-2.023472278429786,0.9456239210556358,new_host,0.062647,Anomaly
Horizontal port scan,synthetic-Horizontal port scan-9,778,778,1,66113,0.0,0.0,0.0,1.0,1.0,11.864119512844725,50.6542560366923,-2.023472278429786,1.8815326205315854,new_host,0.06119,Anomaly
Vertical port scan,synthetic-Vertical port scan-0,962,1,962,53245,0.0,0.0,0.0,1.0,0.001,15.046332326785585,-1.7536759746391475,646.1621475785782,1.185067599431856,new_host,0.048002,Anomaly
Vertical port scan,synthetic-Vertical port scan-1,1199,1,886,52380,0.0,0.0,0.0,1.0,0.0008,19.14516078822028,-1.7536759746391475,594.900849858357,1.1382505149392181,new_host,0.054928,Anomaly
Vertical port scan,synthetic-Vertical port scan-2,1109,1,779,42265,0.0,0.0,0.0,1.0,0.0009,17.5886436509666,-1.7536759746391475,522.7303385943613,0.5907883072594107,new_host,0.048511,Anomaly
Vertical port scan,synthetic-Vertical port scan-3,1172,1,1067,70106,0.0,0.0,0.0,1.0,0.0009,18.678205647044177,-1.7536759746391475,716.9836773236207,2.0976489423571385,new_host,0.056445,Anomaly
Vertical port scan,synthetic-Vertical port scan-4,975,1,745,46123,0.0,0.0,0.0,1.0,0.001,15.27116257994445,-1.7536759746391475,499.79765277215705,0.7995979164762863,new_host,0.048316,Anomaly
Vertical port scan,synthetic-Vertical port scan-5,1101,1,987,69540,0.0,0.0,0.0,1.0,0.0009,17.450286572099603,-1.7536759746391475,663.0244165654931,2.067014873197794,new_host,0.051289,Anomaly
Vertical port scan,synthetic-Vertical port scan-6,1081,1,984,52942,0.0,0.0,0.0,1.0,0.0009,17.104393874932118,-1.7536759746391475,661.0009442870632,1.1686680889101575,new_host,0.048002,Anomaly
Vertical port scan,synthetic-Vertical port scan-7,718,1,718,56707,0.0,0.0,0.0,1.0,0.0014,10.826441421342272,-1.7536759746391475,481.586402266289,1.3724441849966107,new_host,0.037165,Anomaly
Vertical port scan,synthetic-Vertical port scan-8,1212,1,698,52130,0.0,0.0,0.0,1.0,0.0008,19.369991041379144,-1.7536759746391475,468.0965870767571,1.124719565663889,new_host,0.054928,Anomaly
Vertical port scan,synthetic-Vertical port scan-9,876,1,876,70220,0.0,0.0,0.0,1.0,0.0011,13.558993728965401,-1.7536759746391475,588.155942263591,2.1038190552266887,new_host,0.049804,Anomaly
DDoS outbound flood,synthetic-DDoS outbound flood-0,8789,1,1,320074,0.0,1.0,0.0,0.0,0.0001,150.41143936328072,-1.7536759746391475,-2.023472278429786,15.6268662561788,new_host,-0.043529,Normal
DDoS outbound flood,synthetic-DDoS outbound flood-1,5709,1,1,390851,0.0,1.0,0.0,0.0,0.0002,97.14396399948808,-1.7536759746391475,-2.023472278429786,19.457586243618618,new_host,-0.037621,Normal
DDoS outbound flood,synthetic-DDoS outbound flood-2,6374,1,1,447117,0.0,1.0,0.0,0.0,0.0002,108.64489618030694,-1.7536759746391475,-2.023472278429786,22.50291581132124,new_host,-0.036749,Normal
DDoS outbound flood,synthetic-DDoS outbound flood-3,7742,1,1,431268,0.0,1.0,0.0,0.0,0.0001,132.3039566665629,-1.7536759746391475,-2.023472278429786,21.64510775106249,new_host,-0.037621,Normal
DDoS outbound flood,synthetic-DDoS outbound flood-4,7337,1,1,510855,0.0,1.0,0.0,0.0,0.0001,125.29962954892135,-1.7536759746391475,-2.023472278429786,25.952658390964896,new_host,-0.036749,Normal
DDoS outbound flood,synthetic-DDoS outbound flood-5,9961,1,1,512602,0.0,1.0,0.0,0.0,0.0001,170.68075141729534,-1.7536759746391475,-2.023472278429786,26.047212664500893,new_host,-0.036749,Normal
DDoS outbound flood,synthetic-DDoS outbound flood-6,9338,1,1,345338,0.0,1.0,0.0,0.0,0.0001,159.9061939005282,-1.7536759746391475,-2.023472278429786,16.99424986614644,new_host,-0.042665,Normal
DDoS outbound flood,synthetic-DDoS outbound flood-7,6063,1,1,328567,0.0,1.0,0.0,0.0,0.0002,103.26626473935256,-1.7536759746391475,-2.023472278429786,16.086539664960274,new_host,-0.043529,Normal
DDoS outbound flood,synthetic-DDoS outbound flood-8,7069,1,1,485587,0.0,1.0,0.0,0.0,0.0001,120.66466740687704,-1.7536759746391475,-2.023472278429786,24.585058285808852,new_host,-0.036749,Normal
DDoS outbound flood,synthetic-DDoS outbound flood-9,9241,1,1,430554,0.0,1.0,0.0,0.0,0.0001,158.2286143192659,-1.7536759746391475,-2.023472278429786,21.60646335993215,new_host,-0.037621,Normal
DNS tunneling,synthetic-DNS tunneling-0,2101,1,1,142423,1.0,0.0,0.0,0.0,0.0005,34.74492143047384,-1.7536759746391475,-2.023472278429786,6.01171957733298,new_host,-0.002834,Normal
DNS tunneling,synthetic-DNS tunneling-1,1450,1,1,118007,1.0,0.0,0.0,0.0,0.0007,23.486114137672214,-1.7536759746391475,-2.023472278429786,4.690232947307258,new_host,-0.023246,Normal
DNS tunneling,synthetic-DNS tunneling-2,1524,1,1,188261,1.0,0.0,0.0,0.0,0.0007,24.765917117191908,-1.7536759746391475,-2.023472278429786,8.492646188863086,new_host,-0.003932,Normal
DNS tunneling,synthetic-DNS tunneling-3,2097,1,1,107052,1.0,0.0,0.0,0.0,0.0005,34.67574289104034,-1.7536759746391475,-2.023472278429786,4.097306750062345,new_host,-0.016628,Normal
DNS tunneling,synthetic-DNS tunneling-4,2550,1,1,112446,1.0,0.0,0.0,0.0,0.0004,42.51021248188387,-1.7536759746391475,-2.023472278429786,4.389250511626842,new_host,-0.011562,Normal
DNS tunneling,synthetic-DNS tunneling-5,1984,1,1,156456,1.0,0.0,0.0,0.0,0.0005,32.72144915204405,-1.7536759746391475,-2.023472278429786,6.771238822055742,new_host,-0.001909,Normal
DNS tunneling,synthetic-DNS tunneling-6,1968,1,1,151861,1.0,0.0,0.0,0.0,0.0005,32.44473499431007,-1.7536759746391475,-2.023472278429786,6.522539974375197,new_host,-0.002599,Normal
DNS tunneling,synthetic-DNS tunneling-7,1927,1,1,185654,1.0,0.0,0.0,0.0,0.0005,31.735654965116723,-1.7536759746391475,-2.023472278429786,8.351545449819955,new_host,0.00252,Anomaly
DNS tunneling,synthetic-DNS tunneling-8,1568,1,1,165502,1.0,0.0,0.0,0.0,0.0006,25.526881050960373,-1.7536759746391475,-2.023472278429786,7.260842690634243,new_host,-0.00622,Normal
DNS tunneling,synthetic-DNS tunneling-9,1737,1,1,174178,1.0,0.0,0.0,0.0,0.0006,28.449674342025617,-1.7536759746391475,-2.023472278429786,7.730420754285258,new_host,-0.001402,Normal
Low-volume C2 beaconing,synthetic-Low-volume C2 beaconing-0,9,1,1,3612,0.0,0.0,1.0,0.0,0.1111,-1.4354546932450616,-1.7536759746391475,-2.023472278429786,-1.5012588220977419,new_host,-0.081591,Normal
Low-volume C2 beaconing,synthetic-Low-volume C2 beaconing-1,12,1,1,5925,0.0,0.0,1.0,0.0,0.0833,-1.3835707886699389,-1.7536759746391475,-2.023472278429786,-1.376070479402399,new_host,-0.080025,Normal
Low-volume C2 beaconing,synthetic-Low-volume C2 beaconing-2,11,1,1,5045,0.0,0.0,1.0,0.0,0.0909,-1.4008654235283131,-1.7536759746391475,-2.023472278429786,-1.4236994208515565,new_host,-0.081388,Normal
Low-volume C2 beaconing,synthetic-Low-volume C2 beaconing-3,10,1,1,3635,0.0,0.0,1.0,0.0,0.1,-1.4181600583866873,-1.7536759746391475,-2.023472278429786,-1.5000139747644117,new_host,-0.081388,Normal
Low-volume C2 beaconing,synthetic-Low-volume C2 beaconing-4,12,1,1,5746,0.0,0.0,1.0,0.0,0.0833,-1.3835707886699389,-1.7536759746391475,-2.023472278429786,-1.3857586390835344,new_host,-0.080025,Normal
Low-volume C2 beaconing,synthetic-Low-volume C2 beaconing-5,15,1,1,4448,0.0,0.0,1.0,0.0,0.0667,-1.3316868840948162,-1.7536759746391475,-2.023472278429786,-1.456011327721042,new_host,-0.079457,Normal
Low-volume C2 beaconing,synthetic-Low-volume C2 beaconing-6,14,1,1,3783,0.0,0.0,1.0,0.0,0.0714,-1.3489815189531904,-1.7536759746391475,-2.023472278429786,-1.492003652793417,new_host,-0.079007,Normal
Low-volume C2 beaconing,synthetic-Low-volume C2 beaconing-7,14,1,1,4223,0.0,0.0,1.0,0.0,0.0714,-1.3489815189531904,-1.7536759746391475,-2.023472278429786,-1.4681891820688382,new_host,-0.079007,Normal
Low-volume C2 beaconing,synthetic-Low-volume C2 beaconing-8,9,1,1,4038,0.0,0.0,1.0,0.0,0.1111,-1.4354546932450616,-1.7536759746391475,-2.023472278429786,-1.4782020845325814,new_host,-0.081591,Normal
Low-volume C2 beaconing,synthetic-Low-volume C2 beaconing-9,13,1,1,4431,0.0,0.0,1.0,0.0,0.0769,-1.3662761538115646,-1.7536759746391475,-2.023472278429786,-1.4569314322717644,new_host,-0.079007,Normal
Data exfiltration (volume tinggi),synthetic-Data exfiltration (volume tinggi)-0,47,3,3,629070801,0.0,0.1,0.9,0.0,0.0638,-0.7782585686268406,-1.6187778227438285,-0.6744907594765952,34046.00364170886,new_host,-0.039751,Normal
Data exfiltration (volume tinggi),synthetic-Data exfiltration (volume tinggi)-1,28,2,2,885276163,0.0,0.1,0.9,0.0,0.0714,-1.106856630935951,-1.6862268986914881,-1.3489815189531904,47912.81067086598,new_host,-0.028699,Normal
Data exfiltration (volume tinggi),synthetic-Data exfiltration (volume tinggi)-2,31,2,3,838935972,0.0,0.1,0.9,0.0,0.0645,-1.0549727263608284,-1.6862268986914881,-0.6744907594765952,45404.70357554577,new_host,-0.036151,Normal
Data exfiltration (volume tinggi),synthetic-Data exfiltration (volume tinggi)-3,33,2,3,914712322,0.0,0.1,0.9,0.0,0.0606,-1.02038345664408,-1.6862268986914881,-0.6744907594765952,49506.00736802405,new_host,-0.036632,Normal
Data exfiltration (volume tinggi),synthetic-Data exfiltration (volume tinggi)-4,31,2,4,750837533,0.0,0.1,0.9,0.0,0.0645,-1.0549727263608284,-1.6862268986914881,0.0,40636.48153816714,new_host,-0.037054,Normal
Data exfiltration (volume tinggi),synthetic-Data exfiltration (volume tinggi)-5,35,2,3,1018699163,0.0,0.1,0.9,0.0,0.0571,-0.9857941869273315,-1.6862268986914881,-0.6744907594765952,55134.17005151482,new_host,-0.036632,Normal
Data exfiltration (volume tinggi),synthetic-Data exfiltration (volume tinggi)-6,35,3,2,826495060,0.0,0.1,0.9,0.0,0.0857,-0.9857941869273315,-1.6187778227438285,-1.3489815189531904,44731.35417870245,new_host,-0.033529,Normal
Data exfiltration (volume tinggi),synthetic-Data exfiltration (volume tinggi)-7,43,2,2,761174873,0.0,0.1,0.9,0.0,0.0465,-0.8474371080603376,-1.6862268986914881,-1.3489815189531904,41195.97763089446,new_host,-0.029187,Normal
Data exfiltration (volume tinggi),synthetic-Data exfiltration (volume tinggi)-8,51,2,4,946093239,0.0,0.1,0.9,0.0,0.0392,-0.7090800291933437,-1.6862268986914881,0.0,51204.461752585274,new_host,-0.037317,Normal
Data exfiltration (volume tinggi),synthetic-Data exfiltration (volume tinggi)-9,39,2,2,612389118,0.0,0.1,0.9,0.0,0.0513,-0.9166156474938345,-1.6862268986914881,-1.3489815189531904,33143.1276157084,new_host,-0.029407,Normal
