tanggal,jam,srcip,jumlah_koneksi,jumlah_tujuan_unik,jumlah_port_unik,tcp,udp,total_data,average_datasize,dns,web,app,other,dns_ratio,web_ratio,app_ratio,other_ratio,destination_diversity,anomaly_score,is_anomaly
2026-07-19,15:00,192.168.2.139,17,10,1,12,5,7010,412.35,0,17,0,0,0.0,1.0,0.0,0.0,0.5882,0.369372791204591,0
2026-07-19,15:00,192.168.2.165,1,1,1,1,0,44,44.0,0,1,0,0,0.0,1.0,0.0,0.0,1.0,0.4139540177851261,0
2026-07-19,15:00,192.168.2.191,23,13,1,15,8,9925,431.52,0,23,0,0,0.0,1.0,0.0,0.0,0.5652,0.3671676651599652,0
2026-07-19,16:00,192.168.2.139,7,6,1,0,7,6540,934.29,0,7,0,0,0.0,1.0,0.0,0.0,0.8571,0.4245454685009747,0
2026-07-19,16:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333,0.36432273272230004,0
2026-07-19,16:00,192.168.2.191,292,62,7,92,200,148912,509.97,28,123,141,0,0.0959,0.4212,0.4829,0.0,0.2123,0.5170238692663714,0
2026-07-19,16:00,192.168.2.195,104,33,2,36,68,49961,480.39,16,88,0,0,0.1538,0.8462,0.0,0.0,0.3173,0.38189966558346594,0
2026-07-19,17:00,192.168.2.139,47,21,2,22,25,31768,675.91,0,46,1,0,0.0,0.9787,0.0213,0.0,0.4468,0.38229701700630153,0
2026-07-19,17:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5,0.36677286372248463,0
2026-07-19,17:00,192.168.2.191,21,13,3,10,11,12578,598.95,0,17,4,0,0.0,0.8095,0.1905,0.0,0.619,0.3990322317071208,0
2026-07-19,17:00,192.168.2.195,249,47,2,70,179,99876,401.11,57,192,0,0,0.2289,0.7711,0.0,0.0,0.1888,0.41736425115885445,0
2026-07-19,18:00,192.168.2.139,34,23,3,12,22,16598,488.18,1,28,5,0,0.0294,0.8235,0.1471,0.0,0.6765,0.40543649744988536,0
2026-07-19,18:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333,0.36432273272230004,0
2026-07-19,18:00,192.168.2.191,133,53,3,81,52,57797,434.56,8,124,1,0,0.0602,0.9323,0.0075,0.0,0.3985,0.38887899695104094,0
2026-07-19,18:00,192.168.2.195,202,50,6,76,126,79673,394.42,34,157,11,0,0.1683,0.7772,0.0545,0.0,0.2475,0.39233953407814476,0
2026-07-19,19:00,192.168.2.139,33,15,1,18,15,17644,534.67,0,33,0,0,0.0,1.0,0.0,0.0,0.4545,0.3700929439719189,0
2026-07-19,19:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333,0.36432273272230004,0
2026-07-19,19:00,192.168.2.191,223,67,7,129,94,77024,345.4,46,155,16,6,0.2063,0.6951,0.0717,0.0269,0.3004,0.43086719036758026,0
2026-07-19,19:00,192.168.2.195,210,43,3,69,141,96061,457.43,41,169,0,0,0.1952,0.8048,0.0,0.0,0.2048,0.4034260158154133,0
2026-07-19,20:00,192.168.2.139,5,3,1,0,5,6290,1258.0,0,5,0,0,0.0,1.0,0.0,0.0,0.6,0.43510008470074507,0
2026-07-19,20:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333,0.36432273272230004,0
2026-07-19,20:00,192.168.2.191,187,46,3,83,104,61322,327.93,54,133,0,0,0.2888,0.7112,0.0,0.0,0.246,0.3989093277973503,0
2026-07-19,20:00,192.168.2.195,153,37,2,29,124,73213,478.52,35,118,0,0,0.2288,0.7712,0.0,0.0,0.2418,0.40275960459547255,0
2026-07-19,21:00,192.168.2.139,14,8,1,4,10,12870,919.29,0,14,0,0,0.0,1.0,0.0,0.0,0.5714,0.3974319878167734,0
2026-07-19,21:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333,0.36432273272230004,0
2026-07-19,21:00,192.168.2.191,164,60,4,99,65,52562,320.5,23,140,1,0,0.1402,0.8537,0.0061,0.0,0.3659,0.3902411926385144,0
2026-07-19,21:00,192.168.2.195,195,41,3,39,156,109336,560.7,27,168,0,0,0.1385,0.8615,0.0,0.0,0.2103,0.4190301211176816,0
2026-07-19,22:00,192.168.2.139,14,8,1,3,11,13106,936.14,0,14,0,0,0.0,1.0,0.0,0.0,0.5714,0.4017454230376452,0
2026-07-19,22:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5,0.36677286372248463,0
