received_at,srcip,dstip_subnet,dstport,proto,datasize
2026-07-29 08:33:33.235767+07:00,192.168.2.197,8.8.8.0/24,443,UDP,1228
2026-07-29 08:33:33.344409+07:00,192.168.2.197,40.104.210.0/24,443,TCP,60
2026-07-29 08:33:34.254364+07:00,192.168.2.197,40.104.210.0/24,443,TCP,60
2026-07-29 08:33:34.724883+07:00,192.168.2.197,40.104.210.0/24,443,TCP,60
2026-07-29 08:33:52.384686+07:00,192.168.2.145,57.144.193.0/24,5222,TCP,60
2026-07-29 08:33:52.384686+07:00,192.168.2.145,8.8.8.0/24,443,UDP,1228
2026-07-29 08:33:52.718227+07:00,192.168.2.145,57.144.193.0/24,443,UDP,1280
2026-07-29 08:33:52.718227+07:00,192.168.2.145,57.144.193.0/24,443,TCP,60
2026-07-29 08:34:06.764061+07:00,192.168.2.197,8.8.8.0/24,443,UDP,232
2026-07-29 08:34:06.764564+07:00,192.168.2.197,13.224.245.0/24,443,TCP,60
2026-07-29 08:34:06.893940+07:00,192.168.2.162,52.123.176.0/24,443,TCP,60
2026-07-29 08:34:06.894299+07:00,192.168.2.162,20.184.175.0/24,443,TCP,60
2026-07-29 08:34:07.403892+07:00,192.168.2.162,8.8.8.0/24,443,UDP,1228
2026-07-29 08:34:07.403892+07:00,192.168.2.162,52.123.129.0/24,443,TCP,60
2026-07-29 08:34:13.165763+07:00,192.168.2.162,52.168.117.0/24,443,TCP,60
2026-07-29 08:34:19.034735+07:00,192.168.2.162,142.251.12.0/24,443,UDP,1278
2026-07-29 08:34:19.035316+07:00,192.168.2.162,142.251.12.0/24,443,TCP,60
2026-07-29 08:34:19.035316+07:00,192.168.2.162,35.212.47.0/24,443,TCP,60
2026-07-29 08:34:20.184073+07:00,192.168.2.193,31.13.95.0/24,443,TCP,60
2026-07-29 08:34:26.885505+07:00,192.168.2.163,57.144.192.0/24,443,UDP,64
2026-07-29 08:34:26.885505+07:00,192.168.2.163,8.8.8.0/24,53,UDP,72
2026-07-29 08:34:26.886519+07:00,192.168.2.163,57.144.192.0/24,443,UDP,1280
2026-07-29 08:34:26.886519+07:00,192.168.2.163,8.8.8.0/24,53,UDP,72
2026-07-29 08:34:28.113844+07:00,192.168.2.193,47.237.65.0/24,443,TCP,60
2026-07-29 08:34:28.243680+07:00,192.168.2.193,47.237.65.0/24,443,TCP,60
2026-07-29 08:34:29.244374+07:00,192.168.2.193,34.128.10.0/24,443,TCP,60
2026-07-29 08:34:31.764181+07:00,192.168.2.193,172.217.118.0/24,443,UDP,1278
2026-07-29 08:34:32.322782+07:00,192.168.2.193,172.217.114.0/24,443,UDP,1278
2026-07-29 08:34:39.597147+07:00,192.168.2.193,57.144.193.0/24,443,TCP,60
2026-07-29 08:34:40.005177+07:00,192.168.2.193,57.144.101.0/24,443,TCP,60
2026-07-29 08:34:40.934126+07:00,192.168.2.193,172.217.114.0/24,443,UDP,1278
2026-07-29 08:34:41.145015+07:00,192.168.2.193,57.144.193.0/24,443,TCP,60
2026-07-29 08:34:41.363886+07:00,192.168.2.193,157.240.208.0/24,443,TCP,60
2026-07-29 08:34:42.694038+07:00,192.168.2.193,172.217.112.0/24,443,UDP,1278
2026-07-29 08:34:46.274190+07:00,192.168.2.198,8.8.8.0/24,853,TCP,64
2026-07-29 08:34:46.274190+07:00,192.168.2.198,8.8.8.0/24,53,UDP,60
2026-07-29 08:34:46.274190+07:00,192.168.2.198,8.8.8.0/24,443,UDP,1228
2026-07-29 08:34:46.274190+07:00,192.168.2.198,8.8.8.0/24,53,UDP,75
2026-07-29 08:34:47.223678+07:00,192.168.2.198,157.240.208.0/24,443,TCP,60
2026-07-29 08:34:48.314389+07:00,192.168.2.198,20.190.144.0/24,443,TCP,60
2026-07-29 08:34:49.335310+07:00,192.168.2.198,34.107.165.0/24,443,TCP,60
2026-07-29 08:34:51.244202+07:00,192.168.2.187,119.8.176.0/24,443,TCP,60
2026-07-29 08:34:52.183973+07:00,192.168.2.198,142.251.12.0/24,443,UDP,1278
