tanggal,jam,srcip,jumlah_koneksi,jumlah_tujuan_unik,jumlah_port_unik,tcp,udp,total_data,average_datasize,dns,web,app,other,dns_ratio,web_ratio,app_ratio,other_ratio,destination_diversity
2026-08-11,00:00,192.168.2.159,24,12,1,14,10,13470,561.25,0,24,0,0,0.0,1.0,0.0,0.0,0.5
2026-08-11,00:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-08-11,00:00,192.168.2.195,13,7,1,7,6,7938,610.62,0,13,0,0,0.0,1.0,0.0,0.0,0.5385
2026-08-11,01:00,192.168.2.159,110,41,7,62,48,48555,441.41,12,89,7,2,0.1091,0.8091,0.0636,0.0182,0.3727
2026-08-11,01:00,192.168.2.165,4,1,1,4,0,176,44.0,0,4,0,0,0.0,1.0,0.0,0.0,0.25
2026-08-11,01:00,192.168.2.195,20,11,1,12,8,10794,539.7,0,20,0,0,0.0,1.0,0.0,0.0,0.55
2026-08-11,02:00,192.168.2.115,2,2,1,1,1,1288,644.0,0,2,0,0,0.0,1.0,0.0,0.0,1.0
2026-08-11,02:00,192.168.2.159,10,6,3,1,9,9256,925.6,0,5,5,0,0.0,0.5,0.5,0.0,0.6
2026-08-11,02:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-08-11,02:00,192.168.2.195,5,3,1,2,3,3854,770.8,0,5,0,0,0.0,1.0,0.0,0.0,0.6
2026-08-11,03:00,192.168.2.115,42,27,3,27,15,19488,464.0,0,40,2,0,0.0,0.9524,0.0476,0.0,0.6429
2026-08-11,03:00,192.168.2.159,37,15,3,20,17,20529,554.84,0,35,2,0,0.0,0.9459,0.0541,0.0,0.4054
2026-08-11,03:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-08-11,03:00,192.168.2.195,31,17,1,24,7,10186,328.58,0,31,0,0,0.0,1.0,0.0,0.0,0.5484
2026-08-11,04:00,192.168.2.115,31,20,2,21,10,12688,409.29,0,30,1,0,0.0,0.9677,0.0323,0.0,0.6452
2026-08-11,04:00,192.168.2.159,127,29,6,58,69,46530,366.38,40,67,20,0,0.315,0.5276,0.1575,0.0,0.2283
2026-08-11,04:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-08-11,04:00,192.168.2.195,45,25,2,29,16,13633,302.96,6,39,0,0,0.1333,0.8667,0.0,0.0,0.5556
2026-08-11,05:00,192.168.2.115,33,18,1,14,19,23794,721.03,0,33,0,0,0.0,1.0,0.0,0.0,0.5455
2026-08-11,05:00,192.168.2.159,18,8,5,6,12,11016,612.0,1,11,6,0,0.0556,0.6111,0.3333,0.0,0.4444
2026-08-11,05:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-08-11,05:00,192.168.2.195,44,21,1,32,12,16856,383.09,0,44,0,0,0.0,1.0,0.0,0.0,0.4773
2026-08-11,06:00,192.168.2.113,16,8,5,9,7,2058,128.62,5,7,4,0,0.3125,0.4375,0.25,0.0,0.5
2026-08-11,06:00,192.168.2.115,22,13,1,11,11,14468,657.64,0,22,0,0,0.0,1.0,0.0,0.0,0.5909
2026-08-11,06:00,192.168.2.138,8,4,3,3,5,1733,216.62,4,4,0,0,0.5,0.5,0.0,0.0,0.5
2026-08-11,06:00,192.168.2.159,67,29,3,42,25,23322,348.09,7,59,1,0,0.1045,0.8806,0.0149,0.0,0.4328
2026-08-11,06:00,192.168.2.165,4,1,1,4,0,176,44.0,0,4,0,0,0.0,1.0,0.0,0.0,0.25
2026-08-11,06:00,192.168.2.195,3,2,1,0,3,3734,1244.67,0,3,0,0,0.0,1.0,0.0,0.0,0.6667
2026-08-11,07:00,192.168.2.109,9,5,3,7,2,4328,480.89,4,4,1,0,0.4444,0.4444,0.1111,0.0,0.5556
2026-08-11,07:00,192.168.2.113,178,38,4,138,40,35508,199.48,20,154,4,0,0.1124,0.8652,0.0225,0.0,0.2135
2026-08-11,07:00,192.168.2.115,15,5,2,8,7,9284,618.93,0,14,1,0,0.0,0.9333,0.0667,0.0,0.3333
2026-08-11,07:00,192.168.2.122,23,14,4,11,12,13822,600.96,1,21,1,0,0.0435,0.913,0.0435,0.0,0.6087
2026-08-11,07:00,192.168.2.140,289,110,10,189,100,66425,229.84,5,268,12,4,0.0173,0.9273,0.0415,0.0138,0.3806
2026-08-11,07:00,192.168.2.141,245,86,13,181,64,49755,203.08,22,195,17,11,0.0898,0.7959,0.0694,0.0449,0.351
2026-08-11,07:00,192.168.2.142,46,20,6,23,23,23414,509.0,1,35,10,0,0.0217,0.7609,0.2174,0.0,0.4348
2026-08-11,07:00,192.168.2.145,55,32,6,24,31,32377,588.67,3,47,5,0,0.0545,0.8545,0.0909,0.0,0.5818
2026-08-11,07:00,192.168.2.152,240,74,3,124,116,85376,355.73,51,189,0,0,0.2125,0.7875,0.0,0.0,0.3083
2026-08-11,07:00,192.168.2.159,147,44,6,87,60,55222,375.66,20,122,5,0,0.1361,0.8299,0.034,0.0,0.2993
2026-08-11,07:00,192.168.2.161,206,26,5,37,169,53111,257.82,65,133,7,1,0.3155,0.6456,0.034,0.0049,0.1262
2026-08-11,07:00,192.168.2.164,68,23,6,38,30,30693,451.37,6,58,3,1,0.0882,0.8529,0.0441,0.0147,0.3382
2026-08-11,07:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-08-11,07:00,192.168.2.166,352,74,4,268,84,33835,96.12,72,279,1,0,0.2045,0.7926,0.0028,0.0,0.2102
2026-08-11,07:00,192.168.2.180,1,1,1,0,1,124,124.0,0,0,1,0,0.0,0.0,1.0,0.0,1.0
2026-08-11,07:00,192.168.2.182,32,19,5,22,10,8846,276.44,0,26,6,0,0.0,0.8125,0.1875,0.0,0.5938
2026-08-11,07:00,192.168.2.185,129,63,6,81,48,39796,308.5,6,120,3,0,0.0465,0.9302,0.0233,0.0,0.4884
2026-08-11,07:00,192.168.2.195,13,12,2,8,5,5698,438.31,1,12,0,0,0.0769,0.9231,0.0,0.0,0.9231
2026-08-11,07:00,192.168.2.200,285,35,6,48,237,43157,151.43,131,151,3,0,0.4596,0.5298,0.0105,0.0,0.1228
2026-08-11,08:00,192.168.2.109,12,10,2,7,5,7486,623.83,2,10,0,0,0.1667,0.8333,0.0,0.0,0.8333
2026-08-11,08:00,192.168.2.113,260,40,5,166,94,48691,187.27,21,229,10,0,0.0808,0.8808,0.0385,0.0,0.1538
2026-08-11,08:00,192.168.2.115,33,19,3,23,10,12692,384.61,1,31,1,0,0.0303,0.9394,0.0303,0.0,0.5758
2026-08-11,08:00,192.168.2.122,145,71,6,95,50,64060,441.79,3,136,6,0,0.0207,0.9379,0.0414,0.0,0.4897
2026-08-11,08:00,192.168.2.130,77,39,8,54,23,21876,284.1,3,63,10,1,0.039,0.8182,0.1299,0.013,0.5065
2026-08-11,08:00,192.168.2.140,443,108,6,217,226,142614,321.93,22,409,11,1,0.0497,0.9233,0.0248,0.0023,0.2438
2026-08-11,08:00,192.168.2.141,79,41,8,56,23,22856,289.32,5,64,5,5,0.0633,0.8101,0.0633,0.0633,0.519
2026-08-11,08:00,192.168.2.142,46,32,4,34,12,12899,280.41,1,40,5,0,0.0217,0.8696,0.1087,0.0,0.6957
2026-08-11,08:00,192.168.2.145,39,12,2,23,16,14199,364.08,0,37,2,0,0.0,0.9487,0.0513,0.0,0.3077
2026-08-11,08:00,192.168.2.152,152,47,4,79,73,40619,267.23,38,102,12,0,0.25,0.6711,0.0789,0.0,0.3092
2026-08-11,08:00,192.168.2.159,53,28,6,36,17,13883,261.94,5,43,5,0,0.0943,0.8113,0.0943,0.0,0.5283
2026-08-11,08:00,192.168.2.161,172,21,4,20,152,42605,247.7,59,108,5,0,0.343,0.6279,0.0291,0.0,0.1221
2026-08-11,08:00,192.168.2.164,131,44,7,66,65,59779,456.33,1,117,11,2,0.0076,0.8931,0.084,0.0153,0.3359
2026-08-11,08:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-08-11,08:00,192.168.2.166,613,76,4,425,188,73865,120.5,150,458,5,0,0.2447,0.7471,0.0082,0.0,0.124
2026-08-11,08:00,192.168.2.180,7,3,3,2,5,583,83.29,3,2,2,0,0.4286,0.2857,0.2857,0.0,0.4286
2026-08-11,08:00,192.168.2.185,102,39,3,65,37,38377,376.25,0,99,3,0,0.0,0.9706,0.0294,0.0,0.3824
2026-08-11,08:00,192.168.2.195,2,2,1,0,2,2506,1253.0,0,2,0,0,0.0,1.0,0.0,0.0,1.0
2026-08-11,08:00,192.168.2.200,154,23,3,29,125,23777,154.4,88,65,1,0,0.5714,0.4221,0.0065,0.0,0.1494
2026-08-11,09:00,172.30.252.114,5,2,3,0,5,636,127.2,0,0,2,3,0.0,0.0,0.4,0.6,0.4
2026-08-11,09:00,192.168.2.113,108,11,4,91,17,7348,68.04,15,79,14,0,0.1389,0.7315,0.1296,0.0,0.1019
2026-08-11,09:00,192.168.2.115,10,6,1,4,6,7812,781.2,0,10,0,0,0.0,1.0,0.0,0.0,0.6
2026-08-11,09:00,192.168.2.122,365,100,4,234,131,155311,425.51,0,347,18,0,0.0,0.9507,0.0493,0.0,0.274
2026-08-11,09:00,192.168.2.139,66,19,6,58,8,12702,192.45,2,61,1,2,0.0303,0.9242,0.0152,0.0303,0.2879
2026-08-11,09:00,192.168.2.140,321,100,6,172,149,111255,346.59,15,291,8,7,0.0467,0.9065,0.0249,0.0218,0.3115
2026-08-11,09:00,192.168.2.141,128,52,9,75,53,34351,268.37,12,89,15,12,0.0938,0.6953,0.1172,0.0938,0.4062
2026-08-11,09:00,192.168.2.142,19,10,4,6,13,10733,564.89,1,10,8,0,0.0526,0.5263,0.4211,0.0,0.5263
2026-08-11,09:00,192.168.2.143,57,18,10,30,27,14862,260.74,1,37,11,8,0.0175,0.6491,0.193,0.1404,0.3158
2026-08-11,09:00,192.168.2.145,25,13,2,16,9,12362,494.48,0,24,1,0,0.0,0.96,0.04,0.0,0.52
2026-08-11,09:00,192.168.2.152,232,55,4,134,98,69562,299.84,42,177,13,0,0.181,0.7629,0.056,0.0,0.2371
2026-08-11,09:00,192.168.2.159,41,19,2,21,20,23336,569.17,0,39,2,0,0.0,0.9512,0.0488,0.0,0.4634
2026-08-11,09:00,192.168.2.161,147,45,5,44,103,48345,328.88,44,96,2,5,0.2993,0.6531,0.0136,0.034,0.3061
2026-08-11,09:00,192.168.2.164,37,17,2,27,10,9959,269.16,0,33,4,0,0.0,0.8919,0.1081,0.0,0.4595
