tanggal,jam,srcip,jumlah_koneksi,jumlah_tujuan_unik,jumlah_port_unik,tcp,udp,total_data,DNS,WEB,MAIL,CHAT,VOICE_VIDEO,VPN,INDUSTRIAL,NTP,CISCO,WINDOWS,OTHER
2026-07-29,8,192.168.2.145,17,5,2,11,6,8184,0,14,0,3,0,0,0,0,0,0,0
2026-07-29,8,192.168.2.162,100,50,5,69,31,34709,0,95,0,2,0,0,0,1,0,0,2
2026-07-29,8,192.168.2.163,145,20,3,23,122,24730,90,54,0,1,0,0,0,0,0,0,0
2026-07-29,8,192.168.2.170,4,2,1,1,3,3744,0,4,0,0,0,0,0,0,0,0,0
2026-07-29,8,192.168.2.180,1,1,1,0,1,176,0,0,0,0,0,1,0,0,0,0,0
2026-07-29,8,192.168.2.186,55,12,3,50,5,6630,5,42,0,8,0,0,0,0,0,0,0
2026-07-29,8,192.168.2.187,32,16,3,23,9,15968,8,23,0,1,0,0,0,0,0,0,0
2026-07-29,8,192.168.2.190,22,8,3,13,9,6036,5,16,1,0,0,0,0,0,0,0,0
2026-07-29,8,192.168.2.191,21,13,4,11,10,10845,1,19,0,0,0,0,0,1,0,0,0
2026-07-29,8,192.168.2.193,90,40,4,42,48,32735,5,84,0,0,0,0,0,1,0,0,0
2026-07-29,8,192.168.2.195,2,2,1,1,1,1288,0,2,0,0,0,0,0,0,0,0,0
2026-07-29,8,192.168.2.197,43,13,1,24,19,19987,0,43,0,0,0,0,0,0,0,0,0
2026-07-29,8,192.168.2.198,463,79,9,184,279,81378,215,217,0,24,0,0,0,4,3,0,0
2026-07-29,8,192.168.2.200,109,39,4,55,54,42622,4,103,0,2,0,0,0,0,0,0,0
2026-07-29,9,192.168.2.145,57,23,7,24,33,29969,4,37,0,4,0,0,0,4,5,0,3
2026-07-29,9,192.168.2.162,126,50,6,80,46,45608,1,116,0,2,3,0,0,0,0,0,4
2026-07-29,9,192.168.2.163,213,31,4,41,172,34346,111,91,0,10,0,0,0,0,0,0,1
2026-07-29,9,192.168.2.165,1,1,1,1,0,44,0,1,0,0,0,0,0,0,0,0,0
2026-07-29,9,192.168.2.170,94,28,2,67,27,34763,0,93,0,0,0,0,0,1,0,0,0
2026-07-29,9,192.168.2.180,5,2,2,0,5,1884,0,0,0,0,1,4,0,0,0,0,0
2026-07-29,9,192.168.2.186,102,11,4,82,20,20106,16,36,0,46,0,0,0,4,0,0,0
2026-07-29,9,192.168.2.187,85,39,5,76,9,21620,20,61,0,2,0,0,0,1,0,0,1
2026-07-29,9,192.168.2.190,87,24,3,53,34,27652,15,53,19,0,0,0,0,0,0,0,0
2026-07-29,9,192.168.2.191,10,6,1,7,3,4104,0,10,0,0,0,0,0,0,0,0,0
2026-07-29,9,192.168.2.193,862,115,9,574,288,275496,0,829,0,14,0,0,0,15,0,0,4
2026-07-29,9,192.168.2.195,18,12,1,10,8,5902,0,18,0,0,0,0,0,0,0,0,0
2026-07-29,9,192.168.2.197,47,25,6,26,21,25918,0,41,0,2,0,0,0,1,3,0,0
2026-07-29,9,192.168.2.198,375,51,6,148,227,73989,173,178,0,23,0,0,0,1,0,0,0
2026-07-29,9,192.168.2.200,468,93,7,264,204,119586,16,432,0,13,0,0,0,2,0,0,5
2026-07-29,10,192.168.2.145,5,5,2,1,4,3162,0,5,0,0,0,0,0,0,0,0,0
2026-07-29,10,192.168.2.162,103,37,3,61,42,48105,0,102,0,0,0,0,0,0,0,0,1
2026-07-29,10,192.168.2.163,329,49,5,75,254,47486,195,131,0,2,0,0,0,1,0,0,0
2026-07-29,10,192.168.2.165,2,1,1,2,0,88,0,2,0,0,0,0,0,0,0,0,0
2026-07-29,10,192.168.2.170,7,4,1,3,4,5092,0,7,0,0,0,0,0,0,0,0,0
2026-07-29,10,192.168.2.182,7,3,4,3,4,1629,4,3,0,0,0,0,0,0,0,0,0
2026-07-29,10,192.168.2.186,71,16,5,52,19,12615,16,24,0,28,0,0,0,3,0,0,0
2026-07-29,10,192.168.2.187,71,31,4,52,19,31905,21,47,0,1,0,0,0,2,0,0,0
2026-07-29,10,192.168.2.190,145,50,6,82,63,48027,19,101,16,6,0,0,0,3,0,0,0
2026-07-29,10,192.168.2.191,43,27,3,24,19,23033,1,42,0,0,0,0,0,0,0,0,0
2026-07-29,10,192.168.2.193,918,103,6,615,303,283507,4,881,0,21,0,0,0,10,0,0,2
2026-07-29,10,192.168.2.195,42,24,2,35,7,8510,2,40,0,0,0,0,0,0,0,0,0
2026-07-29,10,192.168.2.197,59,25,1,40,19,23091,0,59,0,0,0,0,0,0,0,0,0
2026-07-29,10,192.168.2.198,456,79,7,113,343,99899,237,187,0,22,0,0,0,8,0,0,2
2026-07-29,10,192.168.2.200,153,58,4,71,82,75027,4,145,0,3,0,0,0,1,0,0,0
2026-07-29,11,192.168.2.145,19,14,2,9,10,12018,0,18,0,0,0,0,0,1,0,0,0
2026-07-29,11,192.168.2.162,262,79,9,188,74,94279,0,242,0,10,2,0,0,1,0,0,7
2026-07-29,11,192.168.2.163,146,17,3,13,133,29575,94,52,0,0,0,0,0,0,0,0,0
2026-07-29,11,192.168.2.165,2,1,1,2,0,88,0,2,0,0,0,0,0,0,0,0,0
2026-07-29,11,192.168.2.170,13,3,4,3,10,7006,5,8,0,0,0,0,0,0,0,0,0
2026-07-29,11,192.168.2.182,260,80,7,162,98,99663,5,239,0,10,0,0,0,1,3,0,2
2026-07-29,11,192.168.2.186,45,11,4,27,18,6484,15,19,0,8,0,0,0,3,0,0,0
2026-07-29,11,192.168.2.187,72,35,3,62,10,20559,15,56,0,0,0,0,0,1,0,0,0
2026-07-29,11,192.168.2.190,77,23,5,38,39,21400,20,51,2,4,0,0,0,0,0,0,0
2026-07-29,11,192.168.2.191,117,42,9,41,76,69270,9,93,0,1,0,0,0,2,10,0,2
2026-07-29,11,192.168.2.193,628,76,4,438,190,199389,1,583,0,36,0,0,0,8,0,0,0
2026-07-29,11,192.168.2.195,40,18,2,26,14,15348,3,37,0,0,0,0,0,0,0,0,0
2026-07-29,11,192.168.2.197,88,34,3,64,24,29703,0,87,0,1,0,0,0,0,0,0,0
2026-07-29,11,192.168.2.198,455,83,8,136,319,131076,189,246,0,14,0,0,0,4,0,0,2
2026-07-29,12,192.168.2.145,9,6,2,4,5,6480,0,8,0,1,0,0,0,0,0,0,0
2026-07-29,12,192.168.2.163,125,26,5,26,99,29246,66,57,0,2,0,0,0,0,0,0,0
2026-07-29,12,192.168.2.165,2,1,1,2,0,88,0,2,0,0,0,0,0,0,0,0,0
2026-07-29,12,192.168.2.170,7,2,1,1,6,7478,0,7,0,0,0,0,0,0,0,0,0
2026-07-29,12,192.168.2.180,195,85,7,102,93,75440,3,181,2,0,0,1,0,0,0,0,8
2026-07-29,12,192.168.2.186,44,8,5,28,16,7954,17,17,0,10,0,0,0,0,0,0,0
2026-07-29,12,192.168.2.187,162,47,4,89,73,55515,20,141,0,0,0,0,0,0,0,0,1
2026-07-29,12,192.168.2.190,80,27,7,43,37,26462,15,51,11,3,0,0,0,0,0,0,0
2026-07-29,12,192.168.2.191,262,62,6,84,178,155386,26,224,0,0,0,0,0,2,10,0,0
2026-07-29,12,192.168.2.193,31,19,2,23,8,6774,2,29,0,0,0,0,0,0,0,0,0
2026-07-29,12,192.168.2.195,142,44,2,73,69,54621,14,128,0,0,0,0,0,0,0,0,0
2026-07-29,12,192.168.2.197,43,22,3,24,19,23181,1,40,0,2,0,0,0,0,0,0,0
2026-07-29,12,192.168.2.198,781,99,6,320,461,154048,364,408,0,3,0,0,0,5,0,0,1
2026-07-29,12,192.168.2.200,62,26,5,40,22,19344,5,52,0,5,0,0,0,0,0,0,0
2026-07-29,13,192.168.2.145,12,6,1,3,9,11486,0,12,0,0,0,0,0,0,0,0,0
2026-07-29,13,192.168.2.153,27,17,4,15,12,10058,6,21,0,0,0,0,0,0,0,0,0
2026-07-29,13,192.168.2.163,209,39,5,49,160,34990,122,83,0,4,0,0,0,0,0,0,0
2026-07-29,13,192.168.2.165,4,1,1,4,0,176,0,4,0,0,0,0,0,0,0,0,0
2026-07-29,13,192.168.2.170,10,5,1,4,6,7608,0,10,0,0,0,0,0,0,0,0,0
2026-07-29,13,192.168.2.180,4,1,1,0,4,588,0,0,0,0,0,4,0,0,0,0,0
2026-07-29,13,192.168.2.186,105,7,4,82,23,17140,18,21,0,61,0,0,0,5,0,0,0
2026-07-29,13,192.168.2.187,90,40,6,60,30,25219,16,67,0,3,0,0,0,2,0,0,2
2026-07-29,13,192.168.2.190,148,40,6,99,49,38705,19,111,11,6,0,0,0,1,0,0,0
2026-07-29,13,192.168.2.191,227,59,4,43,184,153281,2,224,0,0,0,0,0,0,1,0,0
2026-07-29,13,192.168.2.193,447,89,6,333,114,99780,13,398,0,23,0,0,0,13,0,0,0
2026-07-29,13,192.168.2.195,12,8,1,7,5,6660,0,12,0,0,0,0,0,0,0,0,0
2026-07-29,13,192.168.2.198,551,85,9,163,388,123635,275,258,0,10,0,0,0,4,0,0,4
2026-07-29,13,192.168.2.200,338,87,8,206,132,118090,8,301,0,16,1,0,0,0,0,0,12
2026-07-29,14,10.0.240.2,1,1,1,0,1,62,1,0,0,0,0,0,0,0,0,0,0
2026-07-29,14,10.0.240.3,2,1,2,1,1,122,2,0,0,0,0,0,0,0,0,0,0
2026-07-29,14,192.168.2.100,420,106,8,343,77,103165,6,395,0,1,0,0,0,2,0,0,16
2026-07-29,14,192.168.2.145,5,4,1,2,3,3958,0,5,0,0,0,0,0,0,0,0,0
2026-07-29,14,192.168.2.153,173,23,7,117,56,40328,25,141,0,2,3,0,0,1,1,0,0
2026-07-29,14,192.168.2.155,46,24,6,36,10,10872,1,40,0,2,0,0,0,1,2,0,0
2026-07-29,14,192.168.2.163,195,20,3,18,177,29167,140,54,0,0,0,0,0,0,0,0,1
2026-07-29,14,192.168.2.165,3,1,1,3,0,132,0,3,0,0,0,0,0,0,0,0,0
2026-07-29,14,192.168.2.170,4,1,1,0,4,4912,0,4,0,0,0,0,0,0,0,0,0
2026-07-29,14,192.168.2.185,45,22,7,23,22,9200,5,23,0,5,0,0,0,0,0,0,12
2026-07-29,14,192.168.2.186,39,9,3,31,8,6112,8,20,0,11,0,0,0,0,0,0,0
2026-07-29,14,192.168.2.187,89,38,5,57,32,33325,18,68,0,1,0,0,0,1,0,0,1
2026-07-29,14,192.168.2.190,81,24,6,40,41,27404,21,49,8,1,0,0,0,2,0,0,0
2026-07-29,14,192.168.2.191,40,21,5,19,21,17218,6,27,0,0,0,0,0,3,4,0,0
2026-07-29,14,192.168.2.193,732,101,3,506,226,221307,0,698,0,28,0,0,0,6,0,0,0
2026-07-29,14,192.168.2.195,24,16,2,13,11,9275,2,22,0,0,0,0,0,0,0,0,0
2026-07-29,14,192.168.2.198,517,73,7,185,332,89669,281,222,0,5,0,0,0,0,0,0,9
2026-07-29,14,192.168.2.200,414,92,9,296,118,97150,14,371,0,20,1,0,0,2,1,0,5
2026-07-29,15,192.168.2.100,29,15,2,17,12,11056,0,27,0,0,0,0,0,0,0,0,2
2026-07-29,15,192.168.2.145,54,18,2,29,25,33594,0,53,0,1,0,0,0,0,0,0,0
2026-07-29,15,192.168.2.153,41,12,3,11,30,25553,9,29,0,3,0,0,0,0,0,0,0
2026-07-29,15,192.168.2.155,94,27,3,64,30,37193,0,93,0,1,0,0,0,0,0,0,0
2026-07-29,15,192.168.2.163,195,30,5,39,156,37157,117,75,0,3,0,0,0,0,0,0,0
2026-07-29,15,192.168.2.170,77,32,3,60,17,22774,0,75,0,0,0,0,0,2,0,0,0
2026-07-29,15,192.168.2.180,3,2,2,0,3,418,1,0,0,0,0,2,0,0,0,0,0
2026-07-29,15,192.168.2.184,24,17,5,16,8,9685,2,20,0,0,0,0,0,0,2,0,0
