tanggal,jam,srcip,jumlah_koneksi,jumlah_tujuan_unik,jumlah_port_unik,tcp,udp,total_data,average_datasize,dns,web,app,other
2026-07-19,15:00,192.168.2.139,17,10,1,12,5,7010,412.35,0,17,0,0
2026-07-19,15:00,192.168.2.165,1,1,1,1,0,44,44.0,0,1,0,0
2026-07-19,15:00,192.168.2.191,23,13,1,15,8,9925,431.52,0,23,0,0
2026-07-19,16:00,192.168.2.139,7,6,1,0,7,6540,934.29,0,7,0,0
2026-07-19,16:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0
2026-07-19,16:00,192.168.2.191,292,62,7,92,200,148912,509.97,28,123,141,0
2026-07-19,16:00,192.168.2.195,104,33,2,36,68,49961,480.39,16,88,0,0
2026-07-19,17:00,192.168.2.139,47,21,2,22,25,31768,675.91,0,46,1,0
2026-07-19,17:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0
2026-07-19,17:00,192.168.2.191,21,13,3,10,11,12578,598.95,0,17,4,0
2026-07-19,17:00,192.168.2.195,249,47,2,70,179,99876,401.11,57,192,0,0
2026-07-19,18:00,192.168.2.139,34,23,3,12,22,16598,488.18,1,28,5,0
2026-07-19,18:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0
2026-07-19,18:00,192.168.2.191,133,53,3,81,52,57797,434.56,8,124,1,0
2026-07-19,18:00,192.168.2.195,202,50,6,76,126,79673,394.42,34,157,11,0
2026-07-19,19:00,192.168.2.139,33,15,1,18,15,17644,534.67,0,33,0,0
2026-07-19,19:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0
2026-07-19,19:00,192.168.2.191,223,67,7,129,94,77024,345.4,46,155,16,6
2026-07-19,19:00,192.168.2.195,210,43,3,69,141,96061,457.43,41,169,0,0
2026-07-19,20:00,192.168.2.139,5,3,1,0,5,6290,1258.0,0,5,0,0
2026-07-19,20:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0
2026-07-19,20:00,192.168.2.191,187,46,3,83,104,61322,327.93,54,133,0,0
2026-07-19,20:00,192.168.2.195,153,37,2,29,124,73213,478.52,35,118,0,0
2026-07-19,21:00,192.168.2.139,14,8,1,4,10,12870,919.29,0,14,0,0
2026-07-19,21:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0
2026-07-19,21:00,192.168.2.191,164,60,4,99,65,52562,320.5,23,140,1,0
